package_id,Result_field
550,"15 Acetyl DON"
551,"15 Acetyl DON"
560,"15 Acetyl DON"
561,"15 Acetyl DON"
619,"15 Acetyl DON"
637,"15 Acetyl DON"
102,"16:0 Palmitic"
447,"16:0 Palmitic"
448,"16:0 Palmitic"
449,"16:0 Palmitic"
453,"16:0 Palmitic"
102,"18:0 Stearic"
447,"18:0 Stearic"
448,"18:0 Stearic"
449,"18:0 Stearic"
453,"18:0 Stearic"
102,"18:1 Oleic"
447,"18:1 Oleic"
448,"18:1 Oleic"
449,"18:1 Oleic"
453,"18:1 Oleic"
102,"18:2 Linoleic"
447,"18:2 Linoleic"
448,"18:2 Linoleic"
449,"18:2 Linoleic"
453,"18:2 Linoleic"
102,"18:3 Linolenic"
447,"18:3 Linolenic"
448,"18:3 Linolenic"
449,"18:3 Linolenic"
453,"18:3 Linolenic"
102,"12:0 Lauric"
102,"14:0 Myristic"
102,"16:1 Palmitoleic"
102,"17:0 Margaric"
102,"19:0 Nonadecanoic"
102,"20:0 Arachidic"
102,"20:1 Gadoleic"
102,"20:2 Eicosadienoic"
102,"20:3 Eicosatrienoic"
102,"20:4 Arachidonic"
102,"20:5 Eicosapentaenoic"
102,"22:0 Behenic"
102,"22:1 Erucic"
102,"22:6 Docosahexaenoic"
102,"24:0 Lignoceric"
102,"24:1 Nervonic"
550,"3 Acetyl DON"
551,"3 Acetyl DON"
560,"3 Acetyl DON"
561,"3 Acetyl DON"
619,"3 Acetyl DON"
637,"3 Acetyl DON"
181,Acetic
288,Acetic
419,Acetic
448,Acetic
449,Acetic
453,Acetic
455,Acetic
157,ADF
181,ADF
184,ADF
214,ADF
307,ADF
340,ADF
341,ADF
345,ADF
346,ADF
351,ADF
352,ADF
354,ADF
355,ADF
360,ADF
387,ADF
389,ADF
391,ADF
401,ADF
421,ADF
423,ADF
432,ADF
433,ADF
434,ADF
444,ADF
447,ADF
448,ADF
449,ADF
451,ADF
452,ADF
453,ADF
458,ADF
650,ADF
157,ADICP
181,ADICP
184,ADICP
214,ADICP
307,ADICP
340,ADICP
341,ADICP
351,ADICP
352,ADICP
391,ADICP
422,ADICP
434,ADICP
444,ADICP
447,ADICP
448,ADICP
449,ADICP
451,ADICP
452,ADICP
453,ADICP
458,ADICP
650,ADICP
549,"Aflatoxin - B1"
551,"Aflatoxin - B1"
559,"Aflatoxin - B1"
560,"Aflatoxin - B1"
561,"Aflatoxin - B1"
616,"Aflatoxin - B1"
617,"Aflatoxin - B1"
631,"Aflatoxin - B1"
639,"Aflatoxin - B1"
640,"Aflatoxin - B1"
641,"Aflatoxin - B1"
642,"Aflatoxin - B1"
643,"Aflatoxin - B1"
644,"Aflatoxin - B1"
645,"Aflatoxin - B1"
646,"Aflatoxin - B1"
549,"Aflatoxin - B2"
551,"Aflatoxin - B2"
559,"Aflatoxin - B2"
560,"Aflatoxin - B2"
561,"Aflatoxin - B2"
616,"Aflatoxin - B2"
617,"Aflatoxin - B2"
631,"Aflatoxin - B2"
639,"Aflatoxin - B2"
640,"Aflatoxin - B2"
641,"Aflatoxin - B2"
642,"Aflatoxin - B2"
643,"Aflatoxin - B2"
644,"Aflatoxin - B2"
645,"Aflatoxin - B2"
646,"Aflatoxin - B2"
549,"Aflatoxin - G1"
551,"Aflatoxin - G1"
559,"Aflatoxin - G1"
560,"Aflatoxin - G1"
561,"Aflatoxin - G1"
616,"Aflatoxin - G1"
617,"Aflatoxin - G1"
