package_id,name,display_name,description,price,base_fee
5,Chemistry,AH starch,,22,1
7,Chemistry,Acid insoluble ash,,20,1
8,Chemistry,Acid solubility,,26,1
16,Chemistry,Aluminum,,16,1
18,Chemistry,Ammonia,,12,1
20,Chemistry,Amylopectin,,22,1
21,Chemistry,Amylose,,22,1
29,Misc,Base fee,,8,1
33,Chemistry,Boron,,16,1
40,NIR,Calibrate Fiber,,35,1
41,NIR,Calibrate GPN,,0,1
46,Chemistry,Clostridium perfringens,,30,1
49,Chemistry,Cobalt,,55,1
61,Chemistry,DCAD Minerals,DCAD Minerals,17.5,1
74,Mold,Ergot,,105,1
102,Chemistry,Fatty Acid Profile,Fatty Acid Profile(TFA),88,0
104,Chemistry,Fermentrics,,0,0
146,Chemistry,KFM - moisture,,29,1
147,Chemistry,"NDFD 6.5 Forages 30,120,240","NDFD 6.5 Forages 30,120,240",112,0
149,Chemistry,"NDFD 6.5 Commodities 12,72,120","NDFD 6.5 Commodities 12,72,120",112,0
156,Chemistry,M2 - Ca/P/K/Mg/S,M2 - Ca/P/K/Mg/S,16,1
158,Chemistry,M4 - Complete Mineral,M4 - Complete Mineral,30,1
160,Chemistry,M5 - Ca/P/K/Mg/S/Na/Cl,M5 - Ca/P/K/Mg/S/Na/Cl,17.5,1
184,NIR,Basic,Basic,24,0
187,Chemistry,NDICPss,,10,1
190,Chemistry,NDFD/uNDFom120(must incl. NDF),NDFD/uNDFom120(must incl. NDF),50,0
191,Chemistry,NDFD/uNDFom12(must incl. NDF),NDFD/uNDFom12(must incl. NDF),50,0
192,Chemistry,NDFD/uNDFom240(must incl. NDF),NDFD/uNDFom240(must incl. NDF),50,0
193,Chemistry,NDFD/uNDFom24(must incl. NDF),NDFD/uNDFom24(must incl. NDF),50,0
194,Chemistry,NDFD/uNDFom30(must incl. NDF),NDFD/uNDFom30(must incl. NDF),50,0
195,Chemistry,NDFD/uNDFom48(must incl. NDF),NDFD/uNDFom48(must incl. NDF),50,0
196,Chemistry,NDFD/uNDFom72(must incl. NDF),NDFD/uNDFom72(must incl. NDF),50,0
216,Chemistry,M7 - Complete Mineral w/DCAD,M7 - Complete Mineral w/DCAD,34,1
217,Chemistry,M8 - Ca/P/K/Mg/S/Na,M8 - Ca/P/K/Mg/S/Na,15,1
221,Chemistry,Pellet durability,,35,0
226,Chemistry,Prolamin,,29,1
231,Chemistry,Ross RUP (16hrs),Ross RUP (16hrs),70,0
232,Chemistry,Ross RUP (16hrs)+ UCP,Ross RUP (16hrs)+ UCP,140,0
248,Chemistry,Starch,Starch,19,1
272,Chemistry,uNDFom240,,50,1
279,Chemistry,uNDFom12,,50,1
280,Chemistry,uNDFom18,,50,1
282,Chemistry,uNDFom72,,50,1
288,Chemistry,VFA Complete Profile,VFA Complete Profile,51,0
333,Chemistry,"Lys, Met, Cys + 9","Lys, Met, Cys + 9",131,0
334,Chemistry,Complete Amino Acids Profile,Complete Amino Acids Profile,186,0
335,Chemistry,Lysine,Lysine,98,0
336,Chemistry,Methionine,Methionine,98,0
337,Chemistry,Fat - Acid Hydrolysis,Fat - Acid Hydrolysis,17,1
338,Chemistry,Ammonia,Ammonia,13,1
339,Chemistry,Ash,Ash,12,1
340,Chemistry,B1 - CP/ADF/ADICP,B1 - CP/ADF/ADICP,38,0
341,Chemistry,C1 - CP/ADF/ADICP/NDF,C1 - CP/ADF/ADICP/NDF,46,0
342,Chemistry,Ca,Ca,16,1
343,Chemistry,Cl,Cl,16,1
344,Chemistry,Cu,Cu,16,1
348,Chemistry,Sugar (ESC),Sugar (ESC),20,1
350,Chemistry,Fecal Starch,Fecal Starch,32,0
351,Chemistry,Fermentrics TMR,Fermentrics TMR,160,0
